movieId,title,genres
1,Toy Story (1995),Animation|Children|Comedy
2,Jumanji (1995),Adventure|Children|Fantasy
3,Grumpier Old Men (1995),Comedy|Romance
4,Waiting to Exhale (1995),Comedy|Drama|Romance
5,Father of the Bride Part II (1995),Comedy
6,Heat (1995),Action|Crime|Thriller
7,Sabrina (1995),Comedy|Romance
8,Tom and Huck (1995),Adventure|Children
9,Sudden Death (1995),Action
10,GoldenEye (1995),Action|Adventure|Thriller
11,The American President (1995),Comedy|Drama|Romance
12,Dracula: Dead and Loving It (1995),Comedy|Horror
13,Balto (1995),Adventure|Animation|Children
14,Nixon (1995),Drama
15,Cutthroat Island (1995),Action|Adventure|Romance
16,Casino (1995),Drama|Thriller
17,Sense and Sensibility (1995),Drama|Romance
18,Four Rooms (1995),Comedy
19,Ace Ventura: When Nature Calls (1995),Comedy
20,Money Train (1995),Action|Comedy|Thriller
21,Get Shorty (1995),Comedy|Crime
22,Copycat (1995),Crime|Drama|Thriller
23,Assassins (1995),Action|Thriller
24,Powder (1995),Drama|Sci-Fi
25,Leaving Las Vegas (1995),Drama|Romance
26,Othello (1995),Drama
27,Now and Then (1995),Children|Drama
28,Persuasion (1995),Drama|Romance
29,The City of Lost Children (1995),Adventure|Drama|Fantasy|Sci-Fi
30,Shanghai Triad (1995),Drama
31,Dangerous Minds (1995),Drama
32,Twelve Monkeys (1995),Sci-Fi|Thriller
33,The Net (1995),Action|Thriller
34,Braveheart (1995),Action|Drama|War
35,Apollo 13 (1995),Drama
36,Babe (1995),Children|Drama
37,Crimson Tide (1995),Action|Drama|War
38,The Bridges of Madison County (1995),Drama|Romance
39,Rob Roy (1995),Action|Drama|Romance|War
40,Seven (1995),Crime|Thriller
