userId,gender,age,occupation,country
1,M,28,artist,United States
2,F,28,engineer,Brazil
3,M,45,technician,Japan
4,F,69,educator,Brazil
5,F,18,writer,Brazil
6,F,56,executive,Canada
7,F,10,technician,Canada
8,F,55,healthcare,Brazil
9,F,53,engineer,Canada
10,F,70,writer,United States
11,F,50,artist,United States
12,F,14,executive,United States
13,F,69,healthcare,Canada
14,M,24,executive,Japan
15,F,15,educator,United States
16,M,36,technician,Brazil
17,M,13,healthcare,United States
18,M,31,technician,Brazil
19,M,68,executive,Brazil
20,F,14,student,United States
21,M,32,executive,Japan
22,F,15,student,Brazil
23,M,46,technician,United States
24,F,41,healthcare,Brazil
25,F,36,healthcare,United Kingdom
26,F,8,programmer,Germany
27,F,18,marketing,Germany
28,F,39,marketing,Canada
29,F,7,other,United States
30,M,25,artist,Brazil
31,F,33,executive,United Kingdom
32,M,48,administrator,Brazil
33,M,9,scientist,Brazil
34,F,10,student,United States
35,F,31,marketing,Brazil
36,M,7,student,Japan
37,F,24,lawyer,Brazil
38,M,20,artist,Canada
39,F,30,scientist,United Kingdom
40,M,38,technician,Brazil
41,M,65,student,Canada
42,M,12,scientist,Canada
43,M,67,administrator,United States
44,F,55,executive,United Kingdom
45,F,22,educator,Brazil
46,F,55,programmer,Brazil
47,M,46,entertainment,United States
48,F,35,healthcare,Brazil
49,F,55,entertainment,Germany
50,F,45,marketing,United Kingdom
51,F,53,marketing,Brazil
52,M,57,educator,Brazil
53,M,27,executive,Canada
54,M,45,scientist,Canada
55,F,35,educator,Brazil
56,F,9,other,Japan
57,F,62,educator,United States
58,M,71,entertainment,Japan
59,M,7,writer,Canada
60,M,47,lawyer,United States
